gvkey,conm,tic,cusip,cik,sic,fyear,datadate,at,restatement
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2011,20110630,34238.3000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2012,20120630,30815.5000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2013,20130630,32268.1000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2014,20140630,32051.7000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2015,20150630,33110.5000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2016,20160630,43670.0000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2017,20170630,37180.0000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2018,20180630,37088.7000,1
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2019,20190630,41887.7000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2020,20200630,39165.5000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2021,20210630,48772.5000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2022,20220630,63068.2000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2023,20230630,50971.0000,0
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2010,20101231,5099.4000,0
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2011,20111231,4972.7000,1
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2012,20121231,5105.3000,1
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2013,20131231,4610.6000,1
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2014,20141231,4360.2000,1
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2015,20151231,4133.7000,0
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2016,20161231,4396.4000,0
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2017,20171231,5136.9000,0
001913,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,2018,20181231,5177.5000,0
